%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
2023 122 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.70000 95.00 4.70 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.30 -999.00
2023 122 6 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.80000 90.00 5.10 -999.00 -999.00 5.20 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 4.60 0.70 -999.00
2023 122 7 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.60000 84.00 5.60 -999.00 -999.00 26.40 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 25.80 1.20 -999.00
2023 122 8 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.60000 80.00 6.00 -999.00 -999.00 59.90 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 58.80 1.30 -999.00
2023 122 9 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.50000 80.00 6.20 -999.00 -999.00 112.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 110.60 1.50 -999.00
2023 122 10 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.10000 80.00 6.70 -999.00 -999.00 163.30 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 160.30 5.80 -999.00
2023 122 11 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.80000 76.00 7.50 -999.00 -999.00 218.60 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 214.50 7.30 -999.00
2023 122 12 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.50000 79.00 7.50 -999.00 -999.00 163.90 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 162.70 0.00 -999.00
2023 122 13 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.80000 88.00 6.90 -999.00 -999.00 156.50 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 155.30 0.00 -999.00
2023 122 14 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.90000 93.00 6.40 -999.00 -999.00 111.50 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 110.20 0.00 -999.00
2023 122 15 0 -999.00 -999.00 -999.00 -999.00 -999.00 6.00000 94.00 5.70 -999.00 -999.00 144.30 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 142.90 0.00 -999.00
2023 122 16 0 -999.00 -999.00 -999.00 -999.00 -999.00 6.90000 92.00 5.50 -999.00 -999.00 268.90 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 263.70 7.40 -999.00
2023 122 17 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.50000 88.00 6.00 -999.00 -999.00 69.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 67.90 0.10 -999.00
2023 122 18 0 -999.00 -999.00 -999.00 -999.00 -999.00 6.30000 79.00 6.70 -999.00 -999.00 195.20 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 176.00 37.00 -999.00
2023 122 19 0 -999.00 -999.00 -999.00 -999.00 -999.00 6.90000 84.00 5.80 -999.00 -999.00 87.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 84.50 5.00 -999.00
2023 122 20 0 -999.00 -999.00 -999.00 -999.00 -999.00 7.40000 81.00 5.10 -999.00 -999.00 51.60 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 50.30 1.00 -999.00
2023 122 21 0 -999.00 -999.00 -999.00 -999.00 -999.00 7.70000 81.00 4.70 -999.00 -999.00 17.60 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 17.40 0.00 -999.00
2023 122 22 0 -999.00 -999.00 -999.00 -999.00 -999.00 6.90000 81.00 4.80 -999.00 -999.00 1.50 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.70 0.00 -999.00
2023 122 23 0 -999.00 -999.00 -999.00 -999.00 -999.00 6.80000 79.00 4.70 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 123 0 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.90000 80.00 4.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 123 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 6.10000 81.00 3.70 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 123 2 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.70000 82.00 3.40 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 123 3 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.10000 79.00 3.20 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 123 4 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.40000 78.00 2.80 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 123 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.00000 78.00 2.50 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 123 6 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.50000 80.00 2.50 -999.00 -999.00 18.40 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 11.70 99.10 -999.00
2023 123 7 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.70000 78.00 3.00 -999.00 -999.00 110.50 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 45.10 438.70 -999.00
2023 123 8 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.70000 73.00 4.30 -999.00 -999.00 229.90 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 85.50 538.70 -999.00
2023 123 9 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.40000 65.00 6.00 -999.00 -999.00 304.60 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 146.80 399.10 -999.00
2023 123 10 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.20000 60.00 7.30 -999.00 -999.00 424.80 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 196.30 438.00 -999.00
2023 123 11 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.20000 51.00 9.20 -999.00 -999.00 526.80 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 143.30 617.80 -999.00
2023 123 12 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.90000 41.00 10.50 -999.00 -999.00 559.70 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 166.30 576.40 -999.00
2023 123 13 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.80000 42.00 9.80 -999.00 -999.00 494.80 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 240.90 352.20 -999.00
2023 123 14 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.50000 53.00 9.00 -999.00 -999.00 622.50 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 251.40 497.40 -999.00
2023 123 15 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.00000 55.00 9.00 -999.00 -999.00 321.20 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 179.60 187.10 -999.00
2023 123 16 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.90000 57.00 8.20 -999.00 -999.00 166.80 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 153.80 16.40 -999.00
2023 123 17 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.80000 55.00 9.00 -999.00 -999.00 370.10 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 238.10 236.80 -999.00
2023 123 18 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.60000 53.00 9.40 -999.00 -999.00 414.60 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 151.40 549.60 -999.00
2023 123 19 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.60000 53.00 9.30 -999.00 -999.00 182.40 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 139.40 84.30 -999.00
2023 123 20 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.30000 51.00 9.00 -999.00 -999.00 65.60 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 63.50 9.50 -999.00
2023 123 21 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.70000 65.00 7.00 -999.00 -999.00 40.30 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 38.30 27.70 -999.00
2023 123 22 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.40000 64.00 7.00 -999.00 -999.00 3.90 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 2.60 0.30 -999.00
2023 123 23 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.40000 71.00 6.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 124 0 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.40000 76.00 5.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 124 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.30000 70.00 4.90 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 124 2 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.90000 85.00 2.60 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 124 3 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.60000 90.00 0.90 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.20 -999.00
2023 124 4 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.90000 73.00 1.40 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.10 -999.00
2023 124 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.20000 67.00 0.80 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 124 6 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.40000 63.00 0.10 -999.00 -999.00 19.60 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 11.00 127.60 -999.00
2023 124 7 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.60000 65.00 0.20 -999.00 -999.00 111.30 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 36.70 482.60 -999.00
2023 124 8 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.00000 59.00 1.50 -999.00 -999.00 240.20 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 57.70 655.80 -999.00
2023 124 9 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.40000 50.00 2.80 -999.00 -999.00 380.90 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 70.00 771.00 -999.00
2023 124 10 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.00000 48.00 3.90 -999.00 -999.00 504.10 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 89.60 798.70 -999.00
2023 124 11 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.80000 50.00 4.00 -999.00 -999.00 313.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 220.00 156.70 -999.00
2023 124 12 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.10000 57.00 3.60 -999.00 -999.00 345.80 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 186.10 225.90 -999.00
2023 124 13 0 -999.00 -999.00 -999.00 -999.00 -999.00 6.00000 44.00 5.20 -999.00 -999.00 489.40 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 254.90 321.00 -999.00
2023 124 14 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.60000 44.00 5.70 -999.00 -999.00 529.30 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 229.10 403.40 -999.00
